et_mm,fuente,label,lat,lon,periodo_fin,periodo_inicio
20.800000000000004,GF,2020-10_Q1,-19.689669877950884,147.22717515914223,2020-10-16,2020-10-01
20.0,GF,2020-10_Q2,-19.689669877950884,147.22717515914223,2020-11-01,2020-10-16
5.1000000000000005,GF,2020-11_Q1,-19.689669877950884,147.22717515914223,2020-11-16,2020-11-01
21.0,GF,2020-11_Q2,-19.689669877950884,147.22717515914223,2020-12-01,2020-11-16
31.200000000000003,GF,2020-12_Q1,-19.689669877950884,147.22717515914223,2020-12-16,2020-12-01
26.5,GF,2020-12_Q2,-19.689669877950884,147.22717515914223,2021-01-01,2020-12-16
48.6,GF,2021-01_Q1,-19.689669877950884,147.22717515914223,2021-01-16,2021-01-01
58.400000000000006,GF,2021-01_Q2,-19.689669877950884,147.22717515914223,2021-02-01,2021-01-16
74.7,GF,2021-02_Q1,-19.689669877950884,147.22717515914223,2021-02-16,2021-02-01
50.2,GF,2021-02_Q2,-19.689669877950884,147.22717515914223,2021-03-01,2021-02-16
49.2,GF,2021-03_Q1,-19.689669877950884,147.22717515914223,2021-03-16,2021-03-01
46.5,GF,2021-03_Q2,-19.689669877950884,147.22717515914223,2021-04-01,2021-03-16
36.1,GF,2021-04_Q1,-19.689669877950884,147.22717515914223,2021-04-16,2021-04-01
16.400000000000002,GF,2021-04_Q2,-19.689669877950884,147.22717515914223,2021-05-01,2021-04-16
35.5,GF,2021-05_Q1,-19.689669877950884,147.22717515914223,2021-05-16,2021-05-01
32.1,GF,2021-05_Q2,-19.689669877950884,147.22717515914223,2021-06-01,2021-05-16
26.6,GF,2021-06_Q1,-19.689669877950884,147.22717515914223,2021-06-16,2021-06-01
29.0,GF,2021-06_Q2,-19.689669877950884,147.22717515914223,2021-07-01,2021-06-16
29.9,GF,2021-07_Q1,-19.689669877950884,147.22717515914223,2021-07-16,2021-07-01
25.0,GF,2021-07_Q2,-19.689669877950884,147.22717515914223,2021-08-01,2021-07-16
19.800000000000004,GF,2021-08_Q1,-19.689669877950884,147.22717515914223,2021-08-16,2021-08-01
24.5,GF,2021-08_Q2,-19.689669877950884,147.22717515914223,2021-09-01,2021-08-16
22.1,GF,2021-09_Q1,-19.689669877950884,147.22717515914223,2021-09-16,2021-09-01
25.900000000000002,GF,2021-09_Q2,-19.689669877950884,147.22717515914223,2021-10-01,2021-09-16
18.6,GF,2021-10_Q1,-19.689669877950884,147.22717515914223,2021-10-16,2021-10-01
41.400000000000006,GF,2021-10_Q2,-19.689669877950884,147.22717515914223,2021-11-01,2021-10-16
33.1,GF,2021-11_Q1,-19.689669877950884,147.22717515914223,2021-11-16,2021-11-01
36.400000000000006,GF,2021-11_Q2,-19.689669877950884,147.22717515914223,2021-12-01,2021-11-16
33.900000000000006,GF,2021-12_Q1,-19.689669877950884,147.22717515914223,2021-12-16,2021-12-01
25.5,GF,2021-12_Q2,-19.689669877950884,147.22717515914223,2022-01-01,2021-12-16
50.60000000000001,GF,2022-01_Q1,-19.689669877950884,147.22717515914223,2022-01-16,2022-01-01
49.800000000000004,GF,2022-01_Q2,-19.689669877950884,147.22717515914223,2022-02-01,2022-01-16
48.5,GF,2022-02_Q1,-19.689669877950884,147.22717515914223,2022-02-16,2022-02-01
38.6,GF,2022-02_Q2,-19.689669877950884,147.22717515914223,2022-03-01,2022-02-16
33.0,GF,2022-03_Q1,-19.689669877950884,147.22717515914223,2022-03-16,2022-03-01
27.9,GF,2022-03_Q2,-19.689669877950884,147.22717515914223,2022-04-01,2022-03-16
33.5,GF,2022-04_Q1,-19.689669877950884,147.22717515914223,2022-04-16,2022-04-01
14.700000000000001,GF,2022-04_Q2,-19.689669877950884,147.22717515914223,2022-05-01,2022-04-16
34.1,GF,2022-05_Q1,-19.689669877950884,147.22717515914223,2022-05-16,2022-05-01
35.1,GF,2022-05_Q2,-19.689669877950884,147.22717515914223,2022-06-01,2022-05-16
27.0,GF,2022-06_Q1,-19.689669877950884,147.22717515914223,2022-06-16,2022-06-01
24.800000000000004,GF,2022-06_Q2,-19.689669877950884,147.22717515914223,2022-07-01,2022-06-16
20.8,GF,2022-07_Q1,-19.689669877950884,147.22717515914223,2022-07-16,2022-07-01
28.5,GF,2022-07_Q2,-19.689669877950884,147.22717515914223,2022-08-01,2022-07-16
20.8,GF,2022-08_Q1,-19.689669877950884,147.22717515914223,2022-08-16,2022-08-01
26.5,GF,2022-08_Q2,-19.689669877950884,147.22717515914223,2022-09-01,2022-08-16
21.8,GF,2022-09_Q1,-19.689669877950884,147.22717515914223,2022-09-16,2022-09-01
16.3,GF,2022-09_Q2,-19.689669877950884,147.22717515914223,2022-10-01,2022-09-16
11.200000000000001,GF,2022-10_Q1,-19.689669877950884,147.22717515914223,2022-10-16,2022-10-01
29.6,GF,2022-10_Q2,-19.689669877950884,147.22717515914223,2022-11-01,2022-10-16
22.8,GF,2022-11_Q1,-19.689669877950884,147.22717515914223,2022-11-16,2022-11-01
34.5,GF,2022-11_Q2,-19.689669877950884,147.22717515914223,2022-12-01,2022-11-16
